NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    11m          3Mi             
gateway-7b76d459b9-6spnt     14m          42Mi            
gateway-7b76d459b9-92tht     62m          32Mi            
gateway-7b76d459b9-dx5zq     67m          34Mi            
gateway-7b76d459b9-pl28d     75m          33Mi            
gateway-7b76d459b9-qplgl     52m          33Mi            
gateway-7b76d459b9-rhsb6     30m          41Mi            
gateway-7b76d459b9-s7r7h     86m          33Mi            
gateway-7b76d459b9-v5ck6     70m          34Mi            
gateway-7b76d459b9-v6tnz     59m          37Mi            
inventory-7c5c586469-cs555   5m           15Mi            
inventory-7c5c586469-h59hh   18m          15Mi            
inventory-7c5c586469-rrrlv   5m           15Mi            
order-556547d684-5cw6s       34m          20Mi            
order-556547d684-btvvm       5m           15Mi            
order-556547d684-m6gfl       52m          36Mi            
payment-84d4c68676-fbv9g     329m         45Mi            
payment-84d4c68676-jdfrk     366m         42Mi            
payment-84d4c68676-k9bk8     28m          16Mi            
product-7f7cb5797d-4gnkq     52m          32Mi            
product-7f7cb5797d-8l85p     54m          31Mi            
product-7f7cb5797d-x9pq8     55m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
