NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     18m          3Mi             
gateway-67ddf64db9-7wghc     76m          50Mi            
gateway-67ddf64db9-88g4b     84m          47Mi            
gateway-67ddf64db9-hcgz9     78m          43Mi            
gateway-67ddf64db9-hphmp     80m          44Mi            
gateway-67ddf64db9-hv72g     89m          44Mi            
gateway-67ddf64db9-vwb9l     83m          108Mi           
gateway-67ddf64db9-wp4gv     89m          46Mi            
inventory-54b7486945-ktbmc   136m         34Mi            
inventory-54b7486945-nf5ql   134m         33Mi            
order-6976c69cdd-7tfnt       4m           16Mi            
order-6976c69cdd-dmbjb       81m          103Mi           
order-6976c69cdd-dnt5f       82m          32Mi            
order-6976c69cdd-f6xcw       75m          38Mi            
order-6976c69cdd-kfmw7       149m         37Mi            
order-6976c69cdd-pvkc7       20m          15Mi            
order-6976c69cdd-sdl99       106m         33Mi            
order-6976c69cdd-smkdm       79m          34Mi            
order-6976c69cdd-zmclx       99m          38Mi            
payment-7f446f7f68-8t46k     241m         40Mi            
payment-7f446f7f68-cpzqc     199m         41Mi            
payment-7f446f7f68-lgmjq     107m         37Mi            
product-79f7fc54b6-fmwn8     55m          33Mi            
product-79f7fc54b6-wr8sw     56m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
