NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     26m          3Mi             
gateway-67ddf64db9-7wghc     90m          34Mi            
gateway-67ddf64db9-88g4b     86m          36Mi            
gateway-67ddf64db9-djdn4     86m          35Mi            
gateway-67ddf64db9-hcgz9     77m          35Mi            
gateway-67ddf64db9-hphmp     89m          37Mi            
gateway-67ddf64db9-hv72g     87m          38Mi            
gateway-67ddf64db9-q62l2     101m         34Mi            
gateway-67ddf64db9-vwb9l     95m          98Mi            
gateway-67ddf64db9-wp4gv     93m          38Mi            
inventory-54b7486945-4sgww   20m          16Mi            
inventory-54b7486945-ktbmc   171m         33Mi            
inventory-54b7486945-nf5ql   165m         31Mi            
order-6976c69cdd-cqtdc       2m           15Mi            
order-6976c69cdd-dmbjb       172m         102Mi           
order-6976c69cdd-dnt5f       141m         34Mi            
order-6976c69cdd-f6xcw       140m         37Mi            
order-6976c69cdd-sdl99       96m          36Mi            
order-6976c69cdd-zmclx       187m         35Mi            
payment-7f446f7f68-4r85q     23m          16Mi            
payment-7f446f7f68-8t46k     188m         39Mi            
payment-7f446f7f68-cpzqc     239m         37Mi            
payment-7f446f7f68-fjrnl     2m           16Mi            
payment-7f446f7f68-k2ws6     161m         37Mi            
product-79f7fc54b6-fmwn8     81m          33Mi            
product-79f7fc54b6-wr8sw     80m          31Mi            
user-64dcb65d99-qwlqs        2m           28Mi            
