NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     28m          3Mi             
gateway-67ddf64db9-88g4b     175m         29Mi            
gateway-67ddf64db9-djdn4     194m         29Mi            
gateway-67ddf64db9-hphmp     145m         30Mi            
gateway-67ddf64db9-hv72g     136m         31Mi            
gateway-67ddf64db9-vwb9l     137m         94Mi            
inventory-54b7486945-25hc8   6m           15Mi            
inventory-54b7486945-6kffz   37m          26Mi            
inventory-54b7486945-ktbmc   193m         31Mi            
inventory-54b7486945-nf5ql   176m         30Mi            
order-6976c69cdd-dmbjb       149m         101Mi           
order-6976c69cdd-dnt5f       148m         35Mi            
order-6976c69cdd-f6xcw       173m         35Mi            
order-6976c69cdd-sdl99       126m         32Mi            
order-6976c69cdd-smkdm       85m          34Mi            
order-6976c69cdd-zmclx       102m         32Mi            
payment-7f446f7f68-55452     120m         39Mi            
payment-7f446f7f68-6mlng     7m           16Mi            
payment-7f446f7f68-fjrnl     128m         37Mi            
payment-7f446f7f68-k2ws6     137m         36Mi            
product-79f7fc54b6-fmwn8     89m          32Mi            
product-79f7fc54b6-wr8sw     84m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
