NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    16m          3Mi             
gateway-7b76d459b9-6spnt     49m          37Mi            
gateway-7b76d459b9-92tht     86m          32Mi            
gateway-7b76d459b9-dx5zq     57m          35Mi            
gateway-7b76d459b9-pl28d     75m          24Mi            
gateway-7b76d459b9-qplgl     61m          36Mi            
gateway-7b76d459b9-rhsb6     58m          40Mi            
gateway-7b76d459b9-s7r7h     72m          26Mi            
gateway-7b76d459b9-v5ck6     23m          15Mi            
gateway-7b76d459b9-v6tnz     67m          32Mi            
inventory-7c5c586469-h59hh   158m         32Mi            
inventory-7c5c586469-rrrlv   18m          15Mi            
order-556547d684-5cw6s       121m         36Mi            
order-556547d684-7dddm       6m           15Mi            
order-556547d684-btvvm       18m          15Mi            
order-556547d684-m6gfl       129m         36Mi            
order-556547d684-mkx72       124m         39Mi            
order-556547d684-v5fsl       21m          15Mi            
payment-84d4c68676-bm2nz     36m          21Mi            
payment-84d4c68676-fbv9g     289m         42Mi            
product-7f7cb5797d-4gnkq     42m          32Mi            
product-7f7cb5797d-8l85p     61m          27Mi            
product-7f7cb5797d-x9pq8     39m          31Mi            
user-cf9f7646c-xfgl5         2m           28Mi            
