NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    9m           3Mi             
gateway-7b76d459b9-6spnt     74m          35Mi            
gateway-7b76d459b9-92tht     86m          29Mi            
gateway-7b76d459b9-rhsb6     69m          40Mi            
inventory-7c5c586469-h59hh   62m          29Mi            
inventory-7c5c586469-k54j5   56m          31Mi            
order-556547d684-5cw6s       94m          34Mi            
order-556547d684-m6gfl       72m          28Mi            
order-556547d684-mkx72       72m          38Mi            
order-556547d684-zcbhh       51m          32Mi            
payment-84d4c68676-fbv9g     75m          39Mi            
payment-84d4c68676-k9bk8     71m          39Mi            
payment-84d4c68676-kjxzw     85m          34Mi            
product-7f7cb5797d-4gnkq     30m          32Mi            
product-7f7cb5797d-x9pq8     27m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
