NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     8m           3Mi             
gateway-67ddf64db9-hphmp     95m          30Mi            
gateway-67ddf64db9-hv72g     69m          24Mi            
gateway-67ddf64db9-vwb9l     87m          93Mi            
inventory-54b7486945-ktbmc   73m          30Mi            
inventory-54b7486945-nf5ql   53m          28Mi            
order-6976c69cdd-dmbjb       94m          99Mi            
order-6976c69cdd-dnt5f       71m          28Mi            
order-6976c69cdd-f6xcw       99m          33Mi            
payment-7f446f7f68-55452     68m          37Mi            
payment-7f446f7f68-fjrnl     46m          29Mi            
payment-7f446f7f68-kwzfm     65m          35Mi            
product-79f7fc54b6-fmwn8     33m          31Mi            
product-79f7fc54b6-wr8sw     32m          30Mi            
user-64dcb65d99-qwlqs        3m           27Mi            
