NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     20m          3Mi             
gateway-67ddf64db9-7wghc     92m          37Mi            
gateway-67ddf64db9-88g4b     84m          36Mi            
gateway-67ddf64db9-hcgz9     73m          40Mi            
gateway-67ddf64db9-hphmp     96m          37Mi            
gateway-67ddf64db9-hv72g     81m          41Mi            
gateway-67ddf64db9-vwb9l     92m          104Mi           
gateway-67ddf64db9-wp4gv     93m          42Mi            
inventory-54b7486945-ktbmc   141m         33Mi            
inventory-54b7486945-nf5ql   165m         32Mi            
order-6976c69cdd-dmbjb       84m          103Mi           
order-6976c69cdd-f6xcw       145m         37Mi            
order-6976c69cdd-kfmw7       3m           17Mi            
order-6976c69cdd-sdl99       118m         36Mi            
order-6976c69cdd-smkdm       100m         33Mi            
order-6976c69cdd-zmclx       113m         36Mi            
payment-7f446f7f68-4r85q     167m         38Mi            
payment-7f446f7f68-6mlng     210m         38Mi            
payment-7f446f7f68-8t46k     5m           16Mi            
payment-7f446f7f68-fjrnl     28m          17Mi            
payment-7f446f7f68-kwzfm     28m          16Mi            
payment-7f446f7f68-lgmjq     146m         35Mi            
product-79f7fc54b6-fmwn8     58m          33Mi            
product-79f7fc54b6-wr8sw     70m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
