NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    29m          3Mi             
gateway-7b76d459b9-6spnt     101m         42Mi            
gateway-7b76d459b9-92tht     106m         34Mi            
gateway-7b76d459b9-dx5zq     103m         34Mi            
gateway-7b76d459b9-hbwb6     5m           17Mi            
gateway-7b76d459b9-pl28d     104m         34Mi            
gateway-7b76d459b9-qplgl     103m         34Mi            
gateway-7b76d459b9-rhsb6     101m         41Mi            
gateway-7b76d459b9-s7r7h     106m         33Mi            
gateway-7b76d459b9-v5ck6     105m         34Mi            
gateway-7b76d459b9-v6tnz     107m         34Mi            
inventory-7c5c586469-cs555   346m         45Mi            
inventory-7c5c586469-h59hh   23m          15Mi            
inventory-7c5c586469-m7f8s   24m          15Mi            
order-556547d684-5cw6s       21m          16Mi            
order-556547d684-btvvm       360m         45Mi            
order-556547d684-m6gfl       466m         57Mi            
order-556547d684-mkx72       20m          15Mi            
order-556547d684-p7jkh       24m          15Mi            
payment-84d4c68676-bm2nz     4m           17Mi            
payment-84d4c68676-df5gz     4m           17Mi            
payment-84d4c68676-fbv9g     333m         54Mi            
payment-84d4c68676-hltrh     3m           22Mi            
payment-84d4c68676-jdfrk     326m         53Mi            
product-7f7cb5797d-4gnkq     65m          32Mi            
product-7f7cb5797d-8l85p     72m          31Mi            
product-7f7cb5797d-x9pq8     64m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
