NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    8m           3Mi             
gateway-7b76d459b9-6spnt     73m          34Mi            
gateway-7b76d459b9-92tht     66m          30Mi            
gateway-7b76d459b9-rhsb6     64m          40Mi            
gateway-7b76d459b9-v6tnz     48m          22Mi            
inventory-7c5c586469-h59hh   68m          30Mi            
inventory-7c5c586469-k54j5   57m          31Mi            
order-556547d684-5cw6s       98m          34Mi            
order-556547d684-m6gfl       58m          31Mi            
order-556547d684-mkx72       66m          37Mi            
order-556547d684-zcbhh       53m          32Mi            
payment-84d4c68676-fbv9g     68m          39Mi            
payment-84d4c68676-k9bk8     69m          39Mi            
payment-84d4c68676-kjxzw     74m          35Mi            
product-7f7cb5797d-4gnkq     28m          32Mi            
product-7f7cb5797d-x9pq8     29m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
