NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    17m          3Mi             
gateway-7b76d459b9-6spnt     83m          42Mi            
gateway-7b76d459b9-92tht     99m          41Mi            
gateway-7b76d459b9-dx5zq     97m          34Mi            
gateway-7b76d459b9-pl28d     93m          44Mi            
gateway-7b76d459b9-qplgl     95m          36Mi            
gateway-7b76d459b9-rhsb6     87m          43Mi            
gateway-7b76d459b9-v6tnz     96m          39Mi            
inventory-7c5c586469-cs555   250m         47Mi            
inventory-7c5c586469-p8l8f   5m           15Mi            
inventory-7c5c586469-zqvm9   21m          16Mi            
order-556547d684-9q9xj       176m         45Mi            
order-556547d684-m6gfl       207m         56Mi            
order-556547d684-mkx72       4m           16Mi            
order-556547d684-p7jkh       20m          15Mi            
order-556547d684-smgkl       211m         36Mi            
payment-84d4c68676-hltrh     394m         51Mi            
payment-84d4c68676-hw8bv     22m          16Mi            
payment-84d4c68676-kjxzw     3m           16Mi            
product-7f7cb5797d-4gnkq     58m          32Mi            
product-7f7cb5797d-x9pq8     58m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
