NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    11m          3Mi             
gateway-7b76d459b9-6spnt     67m          34Mi            
gateway-7b76d459b9-92tht     69m          30Mi            
gateway-7b76d459b9-rhsb6     67m          40Mi            
gateway-7b76d459b9-v6tnz     98m          28Mi            
inventory-7c5c586469-h59hh   81m          30Mi            
inventory-7c5c586469-k54j5   74m          31Mi            
order-556547d684-5cw6s       127m         34Mi            
order-556547d684-m6gfl       63m          32Mi            
order-556547d684-mkx72       83m          38Mi            
order-556547d684-zcbhh       58m          32Mi            
payment-84d4c68676-fbv9g     89m          39Mi            
payment-84d4c68676-k9bk8     93m          39Mi            
payment-84d4c68676-kjxzw     86m          35Mi            
product-7f7cb5797d-4gnkq     32m          32Mi            
product-7f7cb5797d-x9pq8     35m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
