NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    28m          3Mi             
gateway-7b76d459b9-6spnt     127m         42Mi            
gateway-7b76d459b9-92tht     147m         41Mi            
gateway-7b76d459b9-dx5zq     128m         37Mi            
gateway-7b76d459b9-pl28d     138m         35Mi            
gateway-7b76d459b9-qplgl     134m         42Mi            
gateway-7b76d459b9-rhsb6     124m         40Mi            
gateway-7b76d459b9-v6tnz     124m         45Mi            
inventory-7c5c586469-cs555   316m         47Mi            
inventory-7c5c586469-p8l8f   23m          16Mi            
order-556547d684-9q9xj       354m         36Mi            
order-556547d684-m6gfl       352m         56Mi            
payment-84d4c68676-hltrh     181m         36Mi            
payment-84d4c68676-jdfrk     427m         47Mi            
product-7f7cb5797d-4gnkq     89m          32Mi            
product-7f7cb5797d-x9pq8     95m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
