NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     1m           3Mi             
gateway-67ddf64db9-hphmp     2m           23Mi            
gateway-67ddf64db9-vwb9l     2m           87Mi            
inventory-54b7486945-ktbmc   2m           21Mi            
inventory-54b7486945-nf5ql   2m           24Mi            
order-6976c69cdd-7tfnt       2m           27Mi            
order-6976c69cdd-dmbjb       2m           103Mi           
order-6976c69cdd-kfmw7       2m           24Mi            
payment-7f446f7f68-4r85q     2m           16Mi            
payment-7f446f7f68-55452     3m           24Mi            
payment-7f446f7f68-8t46k     3m           26Mi            
payment-7f446f7f68-cpzqc     3m           26Mi            
payment-7f446f7f68-lgmjq     3m           25Mi            
product-79f7fc54b6-fmwn8     3m           33Mi            
product-79f7fc54b6-wr8sw     2m           31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
