NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    11m          3Mi             
gateway-7b76d459b9-6spnt     33m          42Mi            
gateway-7b76d459b9-92tht     60m          35Mi            
gateway-7b76d459b9-dx5zq     39m          34Mi            
gateway-7b76d459b9-hbwb6     41m          31Mi            
gateway-7b76d459b9-pl28d     45m          35Mi            
gateway-7b76d459b9-qplgl     37m          30Mi            
gateway-7b76d459b9-rhsb6     28m          40Mi            
gateway-7b76d459b9-s7r7h     40m          34Mi            
gateway-7b76d459b9-v5ck6     82m          47Mi            
gateway-7b76d459b9-v6tnz     33m          33Mi            
inventory-7c5c586469-cs555   83m          47Mi            
inventory-7c5c586469-rrrlv   16m          15Mi            
order-556547d684-9q9xj       6m           15Mi            
order-556547d684-btvvm       97m          50Mi            
order-556547d684-m6gfl       137m         56Mi            
payment-84d4c68676-df5gz     24m          27Mi            
payment-84d4c68676-fbv9g     95m          58Mi            
payment-84d4c68676-hltrh     25m          28Mi            
payment-84d4c68676-jdfrk     129m         57Mi            
product-7f7cb5797d-4gnkq     20m          32Mi            
product-7f7cb5797d-8l85p     38m          31Mi            
product-7f7cb5797d-x9pq8     38m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
