NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    22m          3Mi             
gateway-7b76d459b9-6spnt     77m          42Mi            
gateway-7b76d459b9-92tht     66m          35Mi            
gateway-7b76d459b9-dx5zq     84m          35Mi            
gateway-7b76d459b9-pl28d     62m          35Mi            
gateway-7b76d459b9-qplgl     100m         42Mi            
gateway-7b76d459b9-rhsb6     94m          40Mi            
gateway-7b76d459b9-v6tnz     39m          33Mi            
inventory-7c5c586469-cs555   270m         47Mi            
inventory-7c5c586469-h59hh   5m           15Mi            
order-556547d684-9q9xj       106m         33Mi            
order-556547d684-m6gfl       240m         56Mi            
order-556547d684-mkx72       23m          15Mi            
order-556547d684-smgkl       6m           15Mi            
payment-84d4c68676-jdfrk     453m         48Mi            
payment-84d4c68676-k9bk8     3m           16Mi            
product-7f7cb5797d-4gnkq     37m          32Mi            
product-7f7cb5797d-x9pq8     58m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
