NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     8m           3Mi             
gateway-67ddf64db9-hphmp     64m          30Mi            
gateway-67ddf64db9-hv72g     85m          28Mi            
gateway-67ddf64db9-vwb9l     65m          93Mi            
inventory-54b7486945-ktbmc   67m          30Mi            
inventory-54b7486945-nf5ql   51m          29Mi            
order-6976c69cdd-dmbjb       78m          99Mi            
order-6976c69cdd-dnt5f       74m          25Mi            
order-6976c69cdd-f6xcw       68m          34Mi            
order-6976c69cdd-smkdm       49m          27Mi            
payment-7f446f7f68-55452     66m          37Mi            
payment-7f446f7f68-fjrnl     74m          34Mi            
payment-7f446f7f68-kwzfm     62m          36Mi            
product-79f7fc54b6-fmwn8     44m          29Mi            
product-79f7fc54b6-wr8sw     44m          28Mi            
user-64dcb65d99-qwlqs        3m           27Mi            
