NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    22m          3Mi             
gateway-7b76d459b9-6spnt     105m         42Mi            
gateway-7b76d459b9-92tht     104m         40Mi            
gateway-7b76d459b9-dx5zq     123m         35Mi            
gateway-7b76d459b9-pl28d     115m         43Mi            
gateway-7b76d459b9-qplgl     100m         39Mi            
gateway-7b76d459b9-rhsb6     113m         43Mi            
gateway-7b76d459b9-v6tnz     100m         39Mi            
inventory-7c5c586469-cs555   282m         47Mi            
inventory-7c5c586469-p8l8f   3m           16Mi            
inventory-7c5c586469-rrrlv   19m          15Mi            
order-556547d684-9q9xj       201m         45Mi            
order-556547d684-m6gfl       241m         56Mi            
order-556547d684-smgkl       225m         36Mi            
payment-84d4c68676-df5gz     26m          16Mi            
payment-84d4c68676-hltrh     469m         50Mi            
product-7f7cb5797d-4gnkq     73m          32Mi            
product-7f7cb5797d-x9pq8     69m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
