NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    1m           3Mi             
gateway-7b76d459b9-6spnt     20m          42Mi            
gateway-7b76d459b9-92tht     9m           40Mi            
gateway-7b76d459b9-dx5zq     23m          21Mi            
gateway-7b76d459b9-pl28d     14m          23Mi            
gateway-7b76d459b9-qplgl     20m          22Mi            
gateway-7b76d459b9-rhsb6     70m          43Mi            
gateway-7b76d459b9-v6tnz     6m           39Mi            
inventory-7c5c586469-cs555   35m          23Mi            
inventory-7c5c586469-h59hh   19m          15Mi            
inventory-7c5c586469-rrrlv   4m           21Mi            
order-556547d684-5cw6s       5m           15Mi            
order-556547d684-9q9xj       10m          26Mi            
order-556547d684-btvvm       4m           16Mi            
order-556547d684-m6gfl       26m          28Mi            
order-556547d684-smgkl       13m          24Mi            
payment-84d4c68676-df5gz     8m           29Mi            
payment-84d4c68676-fbv9g     22m          16Mi            
payment-84d4c68676-hltrh     31m          27Mi            
payment-84d4c68676-hw8bv     2m           17Mi            
payment-84d4c68676-k9bk8     6m           16Mi            
product-7f7cb5797d-4gnkq     3m           32Mi            
product-7f7cb5797d-x9pq8     3m           31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
