LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
56m         Normal    Pulled                         pod/payment-bcd66f5fc-fw2fg             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 736ms (736ms including waiting). Image size: 62780980 bytes.
56m         Warning   Unhealthy                      pod/payment-bcd66f5fc-fht7h             Liveness probe failed: Get "http://10.244.2.13:4004/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Normal    Pulling                        pod/order-59bbb567bf-hzrb8              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
56m         Normal    Pulled                         pod/order-59bbb567bf-hzrb8              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 809ms (809ms including waiting). Image size: 69825511 bytes.
56m         Normal    Created                        pod/order-59bbb567bf-hzrb8              Created container: order
56m         Normal    Started                        pod/order-59bbb567bf-hzrb8              Started container order
56m         Warning   Unhealthy                      pod/payment-bcd66f5fc-fht7h             Readiness probe failed: Get "http://10.244.2.13:4004/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Warning   BackOff                        pod/payment-bcd66f5fc-8jkqf             Back-off restarting failed container payment in pod payment-bcd66f5fc-8jkqf_shoply(232cb1a5-3a20-45bf-b1b3-ce9ca0441e04)
55m         Warning   BackOff                        pod/payment-bcd66f5fc-fw2fg             Back-off restarting failed container payment in pod payment-bcd66f5fc-fw2fg_shoply(cf670f3d-e4cf-4b9f-a99f-89b2beefac60)
55m         Warning   BackOff                        pod/inventory-7b9846b88-hr8bs           Back-off restarting failed container inventory in pod inventory-7b9846b88-hr8bs_shoply(f014f6d6-3abd-4d08-88a2-97cba520370c)
55m         Warning   BackOff                        pod/inventory-7b9846b88-pbqlw           Back-off restarting failed container inventory in pod inventory-7b9846b88-pbqlw_shoply(f894e432-9f4a-49d1-a883-1497fefab347)
55m         Warning   BackOff                        pod/payment-bcd66f5fc-cql8p             Back-off restarting failed container payment in pod payment-bcd66f5fc-cql8p_shoply(18f1df74-1b4e-4c74-b739-af5d61e80a3f)
54m         Warning   BackOff                        pod/payment-bcd66f5fc-pdcpj             Back-off restarting failed container payment in pod payment-bcd66f5fc-pdcpj_shoply(f6f1be5a-6c08-4c2c-93f2-338089c1efb5)
54m         Normal    Pulling                        pod/payment-bcd66f5fc-v9xrc             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
54m         Normal    Pulled                         pod/payment-bcd66f5fc-v9xrc             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 860ms (860ms including waiting). Image size: 62780980 bytes.
54m         Normal    Created                        pod/payment-bcd66f5fc-v9xrc             Created container: payment
54m         Warning   BackOff                        pod/payment-bcd66f5fc-6pdql             Back-off restarting failed container payment in pod payment-bcd66f5fc-6pdql_shoply(ad8f74fc-2fa0-4e78-b604-3d8674ef132f)
54m         Warning   BackOff                        pod/order-59bbb567bf-swcvm              Back-off restarting failed container order in pod order-59bbb567bf-swcvm_shoply(0be0e921-b8a4-4052-b025-6ff67f0a9953)
54m         Warning   BackOff                        pod/payment-bcd66f5fc-2nbf9             Back-off restarting failed container payment in pod payment-bcd66f5fc-2nbf9_shoply(0439117c-66f2-4801-96d7-a9bd3f6fb96d)
54m         Normal    Pulled                         pod/payment-bcd66f5fc-zszk5             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 759ms (759ms including waiting). Image size: 62780980 bytes.
54m         Warning   BackOff                        pod/payment-bcd66f5fc-fht7h             Back-off restarting failed container payment in pod payment-bcd66f5fc-fht7h_shoply(b9e4a3c3-cefa-4ff9-aba4-edc565fe1d27)
54m         Normal    Pulled                         pod/payment-bcd66f5fc-fht7h             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 722ms (722ms including waiting). Image size: 62780980 bytes.
54m         Normal    Pulling                        pod/payment-bcd66f5fc-fht7h             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
54m         Normal    Created                        pod/payment-bcd66f5fc-fht7h             Created container: payment
54m         Normal    Started                        pod/payment-bcd66f5fc-fht7h             Started container payment
53m         Normal    Created                        pod/payment-bcd66f5fc-8jkqf             Created container: payment
53m         Normal    Pulled                         pod/payment-bcd66f5fc-8jkqf             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 716ms (716ms including waiting). Image size: 62780980 bytes.
53m         Normal    Pulling                        pod/payment-bcd66f5fc-8jkqf             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
53m         Normal    Started                        pod/payment-bcd66f5fc-2nbf9             Started container payment
53m         Normal    Pulling                        pod/payment-bcd66f5fc-2nbf9             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
53m         Normal    Created                        pod/payment-bcd66f5fc-2nbf9             Created container: payment
53m         Normal    Pulled                         pod/payment-bcd66f5fc-2nbf9             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 800ms (800ms including waiting). Image size: 62780980 bytes.
53m         Normal    Pulling                        pod/inventory-7b9846b88-pbqlw           Pulling image "ghcr.io/incheon-soda/shoply-inventory:latest"
53m         Normal    Pulled                         pod/inventory-7b9846b88-pbqlw           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 768ms (768ms including waiting). Image size: 63283423 bytes.
53m         Normal    Created                        pod/inventory-7b9846b88-pbqlw           Created container: inventory
51m         Normal    Pulling                        pod/order-59bbb567bf-swcvm              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
51m         Normal    Pulling                        pod/payment-bcd66f5fc-pdcpj             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
51m         Normal    Pulling                        pod/inventory-7b9846b88-hr8bs           Pulling image "ghcr.io/incheon-soda/shoply-inventory:latest"
51m         Normal    Pulling                        pod/payment-bcd66f5fc-6pdql             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
51m         Normal    Pulling                        pod/payment-bcd66f5fc-cql8p             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
50m         Normal    Pulling                        pod/payment-bcd66f5fc-fw2fg             Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
50m         Normal    Pulled                         pod/payment-bcd66f5fc-fw2fg             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 734ms (734ms including waiting). Image size: 62780980 bytes.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-qtf8q              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-9pwmq            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-6xt4g            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-vcgdr              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-5ff2t              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-6ksxk              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-ld4ws            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-2fgft            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-q82qs              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-ct98r            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/payment-bcd66f5fc-xrpfq             0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-f2tsx              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/order-59bbb567bf-vfxsm              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-zn7bf            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-4gr76            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
49m         Warning   FailedScheduling               pod/gateway-7c998dd6f8-2m2wf            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
