NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     14m          3Mi             
gateway-67ddf64db9-7wghc     91m          34Mi            
gateway-67ddf64db9-88g4b     64m          34Mi            
gateway-67ddf64db9-djdn4     73m          28Mi            
gateway-67ddf64db9-hcgz9     74m          30Mi            
gateway-67ddf64db9-hphmp     60m          31Mi            
gateway-67ddf64db9-hv72g     55m          35Mi            
gateway-67ddf64db9-vwb9l     80m          87Mi            
inventory-54b7486945-4sgww   4m           17Mi            
inventory-54b7486945-6kffz   2m           15Mi            
inventory-54b7486945-ktbmc   129m         32Mi            
inventory-54b7486945-nf5ql   94m          30Mi            
order-6976c69cdd-dmbjb       109m         101Mi           
order-6976c69cdd-f6xcw       113m         36Mi            
order-6976c69cdd-sdl99       105m         34Mi            
order-6976c69cdd-zmclx       89m          34Mi            
payment-7f446f7f68-4r85q     77m          35Mi            
payment-7f446f7f68-6mlng     111m         36Mi            
payment-7f446f7f68-8t46k     23m          22Mi            
payment-7f446f7f68-fjrnl     70m          39Mi            
payment-7f446f7f68-k2ws6     71m          38Mi            
payment-7f446f7f68-kwzfm     6m           16Mi            
product-79f7fc54b6-fmwn8     34m          32Mi            
product-79f7fc54b6-r7562     46m          27Mi            
product-79f7fc54b6-wr8sw     37m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
