NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     24m          3Mi             
gateway-67ddf64db9-7wghc     62m          37Mi            
gateway-67ddf64db9-88g4b     60m          36Mi            
gateway-67ddf64db9-djdn4     51m          34Mi            
gateway-67ddf64db9-hcgz9     44m          38Mi            
gateway-67ddf64db9-hphmp     66m          37Mi            
gateway-67ddf64db9-hv72g     50m          38Mi            
gateway-67ddf64db9-q62l2     49m          35Mi            
gateway-67ddf64db9-vwb9l     49m          103Mi           
gateway-67ddf64db9-wp4gv     89m          25Mi            
inventory-54b7486945-6kffz   14m          20Mi            
inventory-54b7486945-ktbmc   84m          33Mi            
inventory-54b7486945-nf5ql   93m          32Mi            
order-6976c69cdd-dmbjb       139m         102Mi           
order-6976c69cdd-dnt5f       92m          35Mi            
order-6976c69cdd-f6xcw       79m          37Mi            
order-6976c69cdd-sdl99       70m          30Mi            
order-6976c69cdd-zmclx       97m          36Mi            
payment-7f446f7f68-6mlng     29m          16Mi            
payment-7f446f7f68-8t46k     114m         40Mi            
payment-7f446f7f68-cpzqc     122m         38Mi            
payment-7f446f7f68-k2ws6     115m         38Mi            
payment-7f446f7f68-kwzfm     30m          16Mi            
payment-7f446f7f68-lgmjq     30m          16Mi            
product-79f7fc54b6-fmwn8     44m          33Mi            
product-79f7fc54b6-wr8sw     51m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
