NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    26m          3Mi             
gateway-7b76d459b9-4g55k     84m          27Mi            
gateway-7b76d459b9-6spnt     58m          43Mi            
gateway-7b76d459b9-92tht     51m          36Mi            
gateway-7b76d459b9-dx5zq     57m          37Mi            
gateway-7b76d459b9-pl28d     68m          33Mi            
gateway-7b76d459b9-qplgl     84m          36Mi            
gateway-7b76d459b9-rhsb6     80m          40Mi            
gateway-7b76d459b9-s7r7h     75m          35Mi            
gateway-7b76d459b9-v5ck6     80m          34Mi            
gateway-7b76d459b9-v6tnz     62m          36Mi            
inventory-7c5c586469-h59hh   170m         32Mi            
inventory-7c5c586469-k54j5   23m          15Mi            
order-556547d684-5cw6s       233m         36Mi            
order-556547d684-btvvm       17m          15Mi            
order-556547d684-m6gfl       130m         36Mi            
order-556547d684-mkx72       3m           15Mi            
order-556547d684-p7jkh       5m           15Mi            
payment-84d4c68676-79qq4     21m          16Mi            
payment-84d4c68676-bwxlv     24m          16Mi            
payment-84d4c68676-kjxzw     29m          16Mi            
product-7f7cb5797d-4gnkq     63m          32Mi            
product-7f7cb5797d-8l85p     59m          30Mi            
product-7f7cb5797d-x9pq8     47m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
