LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
4m42s       Normal    Scheduled                      pod/inventory-7c5c586469-m7f8s          Successfully assigned shoply/inventory-7c5c586469-m7f8s to k8s-worker1
57m         Normal    Scheduled                      pod/order-556547d684-d2fh6              Successfully assigned shoply/order-556547d684-d2fh6 to k8s-worker2
5m27s       Normal    Scheduled                      pod/payment-84d4c68676-79qq4            Successfully assigned shoply/payment-84d4c68676-79qq4 to k8s-worker2
60m         Warning   FailedScheduling               pod/payment-84d4c68676-2gdhh            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
4m12s       Normal    Scheduled                      pod/gateway-7b76d459b9-v5ck6            Successfully assigned shoply/gateway-7b76d459b9-v5ck6 to k8s-worker1
26s         Warning   FailedScheduling               pod/inventory-7c5c586469-zqvm9          0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
5m27s       Normal    Scheduled                      pod/inventory-7c5c586469-rrrlv          Successfully assigned shoply/inventory-7c5c586469-rrrlv to k8s-worker1
3m12s       Normal    Scheduled                      pod/gateway-7b76d459b9-4g55k            Successfully assigned shoply/gateway-7b76d459b9-4g55k to k8s-worker1
8m57s       Normal    Scheduled                      pod/payment-84d4c68676-kjxzw            Successfully assigned shoply/payment-84d4c68676-kjxzw to k8s-worker2
26s         Warning   FailedScheduling               pod/inventory-7c5c586469-p8l8f          0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
9m12s       Normal    Scheduled                      pod/order-556547d684-zcbhh              Successfully assigned shoply/order-556547d684-zcbhh to k8s-worker2
5m57s       Normal    Scheduled                      pod/payment-84d4c68676-jdfrk            Successfully assigned shoply/payment-84d4c68676-jdfrk to k8s-worker2
56m         Warning   FailedScheduling               pod/product-7f7cb5797d-pfwrn            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
60m         Normal    Scheduled                      pod/gateway-7b76d459b9-72kmd            Successfully assigned shoply/gateway-7b76d459b9-72kmd to k8s-worker1
4m57s       Normal    Scheduled                      pod/order-556547d684-v5fsl              Successfully assigned shoply/order-556547d684-v5fsl to k8s-worker2
41s         Warning   FailedScheduling               pod/order-556547d684-smgkl              0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
60m         Normal    Scheduled                      pod/product-7f7cb5797d-zrxjg            Successfully assigned shoply/product-7f7cb5797d-zrxjg to k8s-worker1
57m         Normal    Scheduled                      pod/gateway-7b76d459b9-tqr9p            Successfully assigned shoply/gateway-7b76d459b9-tqr9p to k8s-worker1
56m         Warning   FailedScheduling               pod/gateway-7b76d459b9-tbj2j            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
6m27s       Normal    Scheduled                      pod/order-556547d684-p7jkh              Successfully assigned shoply/order-556547d684-p7jkh to k8s-worker2
8m57s       Normal    Scheduled                      pod/gateway-7b76d459b9-92tht            Successfully assigned shoply/gateway-7b76d459b9-92tht to k8s-worker1
56m         Normal    Scheduled                      pod/gateway-7b76d459b9-sl6ph            Successfully assigned shoply/gateway-7b76d459b9-sl6ph to k8s-worker1
57m         Normal    Scheduled                      pod/order-556547d684-mkx72              Successfully assigned shoply/order-556547d684-mkx72 to k8s-worker2
8m42s       Normal    Scheduled                      pod/order-556547d684-m6gfl              Successfully assigned shoply/order-556547d684-m6gfl to k8s-worker2
71s         Normal    Scheduled                      pod/payment-84d4c68676-hltrh            Successfully assigned shoply/payment-84d4c68676-hltrh to k8s-worker2
58m         Normal    Scheduled                      pod/payment-84d4c68676-2gdhh            Successfully assigned shoply/payment-84d4c68676-2gdhh to k8s-worker1
7m42s       Normal    Scheduled                      pod/gateway-7b76d459b9-v6tnz            Successfully assigned shoply/gateway-7b76d459b9-v6tnz to k8s-worker1
57m         Normal    Scheduled                      pod/gateway-7b76d459b9-kvspx            Successfully assigned shoply/gateway-7b76d459b9-kvspx to k8s-worker1
57m         Normal    Scheduled                      pod/gateway-7b76d459b9-sszzk            Successfully assigned shoply/gateway-7b76d459b9-sszzk to k8s-worker1
4m42s       Normal    Scheduled                      pod/gateway-7b76d459b9-s7r7h            Successfully assigned shoply/gateway-7b76d459b9-s7r7h to k8s-worker1
4m57s       Normal    Scheduled                      pod/payment-84d4c68676-bm2nz            Successfully assigned shoply/payment-84d4c68676-bm2nz to k8s-worker2
60m         Normal    Scheduled                      pod/gateway-7b76d459b9-2r927            Successfully assigned shoply/gateway-7b76d459b9-2r927 to k8s-worker1
6m12s       Normal    Scheduled                      pod/gateway-7b76d459b9-qplgl            Successfully assigned shoply/gateway-7b76d459b9-qplgl to k8s-worker1
5m42s       Normal    Scheduled                      pod/gateway-7b76d459b9-dx5zq            Successfully assigned shoply/gateway-7b76d459b9-dx5zq to k8s-worker1
6m27s       Normal    Scheduled                      pod/payment-84d4c68676-bwxlv            Successfully assigned shoply/payment-84d4c68676-bwxlv to k8s-worker2
71s         Warning   FailedScheduling               pod/payment-84d4c68676-df5gz            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
71s         Normal    Scheduled                      pod/payment-84d4c68676-df5gz            Successfully assigned shoply/payment-84d4c68676-df5gz to k8s-worker1
5m12s       Normal    Scheduled                      pod/gateway-7b76d459b9-pl28d            Successfully assigned shoply/gateway-7b76d459b9-pl28d to k8s-worker1
4m57s       Normal    Scheduled                      pod/product-7f7cb5797d-8l85p            Successfully assigned shoply/product-7f7cb5797d-8l85p to k8s-worker1
6m12s       Normal    Scheduled                      pod/inventory-7c5c586469-cs555          Successfully assigned shoply/inventory-7c5c586469-cs555 to k8s-worker1
56s         Normal    Scheduled                      pod/gateway-7b76d459b9-hbwb6            Successfully assigned shoply/gateway-7b76d459b9-hbwb6 to k8s-worker1
57m         Normal    Scheduled                      pod/order-556547d684-6dppq              Successfully assigned shoply/order-556547d684-6dppq to k8s-worker2
5m12s       Normal    Scheduled                      pod/order-556547d684-7dddm              Successfully assigned shoply/order-556547d684-7dddm to k8s-worker2
58m         Normal    Scheduled                      pod/payment-84d4c68676-fbv9g            Successfully assigned shoply/payment-84d4c68676-fbv9g to k8s-worker1
