NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    23m          3Mi             
gateway-7b76d459b9-6spnt     67m          43Mi            
gateway-7b76d459b9-92tht     80m          34Mi            
gateway-7b76d459b9-dx5zq     80m          34Mi            
gateway-7b76d459b9-hbwb6     102m         30Mi            
gateway-7b76d459b9-pl28d     83m          34Mi            
gateway-7b76d459b9-qplgl     70m          34Mi            
gateway-7b76d459b9-rhsb6     68m          40Mi            
gateway-7b76d459b9-s7r7h     64m          34Mi            
gateway-7b76d459b9-v5ck6     57m          38Mi            
gateway-7b76d459b9-v6tnz     44m          33Mi            
inventory-7c5c586469-cs555   200m         47Mi            
inventory-7c5c586469-h59hh   4m           16Mi            
inventory-7c5c586469-m7f8s   4m           16Mi            
order-556547d684-5cw6s       3m           16Mi            
order-556547d684-btvvm       202m         50Mi            
order-556547d684-m6gfl       284m         56Mi            
order-556547d684-v5fsl       4m           16Mi            
payment-84d4c68676-fbv9g     174m         58Mi            
payment-84d4c68676-jdfrk     321m         58Mi            
payment-84d4c68676-kjxzw     21m          25Mi            
product-7f7cb5797d-4gnkq     40m          32Mi            
product-7f7cb5797d-8l85p     68m          31Mi            
product-7f7cb5797d-x9pq8     46m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
