NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     11m          3Mi             
gateway-67ddf64db9-7wghc     30m          22Mi            
gateway-67ddf64db9-88g4b     43m          47Mi            
gateway-67ddf64db9-hcgz9     34m          22Mi            
gateway-67ddf64db9-hphmp     40m          23Mi            
gateway-67ddf64db9-hv72g     29m          22Mi            
gateway-67ddf64db9-vwb9l     60m          108Mi           
gateway-67ddf64db9-wp4gv     45m          22Mi            
inventory-54b7486945-25hc8   6m           18Mi            
inventory-54b7486945-4sgww   2m           16Mi            
inventory-54b7486945-ktbmc   68m          34Mi            
inventory-54b7486945-nf5ql   65m          24Mi            
order-6976c69cdd-7tfnt       45m          27Mi            
order-6976c69cdd-cqtdc       2m           15Mi            
order-6976c69cdd-dmbjb       28m          103Mi           
order-6976c69cdd-dnt5f       66m          23Mi            
order-6976c69cdd-f6xcw       34m          38Mi            
order-6976c69cdd-kfmw7       105m         36Mi            
order-6976c69cdd-pvkc7       15m          23Mi            
order-6976c69cdd-sdl99       28m          23Mi            
order-6976c69cdd-smkdm       28m          26Mi            
order-6976c69cdd-zmclx       70m          37Mi            
payment-7f446f7f68-55452     14m          24Mi            
payment-7f446f7f68-8t46k     59m          40Mi            
payment-7f446f7f68-cpzqc     49m          41Mi            
payment-7f446f7f68-lgmjq     117m         38Mi            
product-79f7fc54b6-fmwn8     21m          33Mi            
product-79f7fc54b6-wr8sw     33m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
