LAST SEEN   TYPE     REASON              OBJECT                                  MESSAGE
3m43s       Normal   Scheduled           pod/payment-7f446f7f68-fjrnl            Successfully assigned shoply/payment-7f446f7f68-fjrnl to k8s-worker2
43s         Normal   Scheduled           pod/order-6976c69cdd-sdl99              Successfully assigned shoply/order-6976c69cdd-sdl99 to k8s-worker2
3m43s       Normal   Scheduled           pod/order-6976c69cdd-dnt5f              Successfully assigned shoply/order-6976c69cdd-dnt5f to k8s-worker2
43s         Normal   Scheduled           pod/order-6976c69cdd-zmclx              Successfully assigned shoply/order-6976c69cdd-zmclx to k8s-worker2
58s         Normal   Scheduled           pod/payment-7f446f7f68-k2ws6            Successfully assigned shoply/payment-7f446f7f68-k2ws6 to k8s-worker2
43s         Normal   Scheduled           pod/gateway-67ddf64db9-djdn4            Successfully assigned shoply/gateway-67ddf64db9-djdn4 to k8s-worker1
43s         Normal   Scheduled           pod/inventory-54b7486945-6kffz          Successfully assigned shoply/inventory-54b7486945-6kffz to k8s-worker1
58s         Normal   Scheduled           pod/gateway-67ddf64db9-88g4b            Successfully assigned shoply/gateway-67ddf64db9-88g4b to k8s-worker1
3m13s       Normal   Scheduled           pod/order-6976c69cdd-smkdm              Successfully assigned shoply/order-6976c69cdd-smkdm to k8s-worker2
28s         Normal   Scheduled           pod/payment-7f446f7f68-8t46k            Successfully assigned shoply/payment-7f446f7f68-8t46k to k8s-worker2
3m43s       Normal   Scheduled           pod/gateway-67ddf64db9-hv72g            Successfully assigned shoply/gateway-67ddf64db9-hv72g to k8s-worker1
3m43s       Normal   SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 3; reason: cpu resource utilization (percentage of request) above target
3m43s       Normal   SuccessfulRescale   horizontalpodautoscaler/order-hpa       New size: 3; reason: cpu resource utilization (percentage of request) above target
3m43s       Normal   ScalingReplicaSet   deployment/payment                      Scaled up replica set payment-7f446f7f68 from 2 to 3
3m43s       Normal   Pulling             pod/order-6976c69cdd-dnt5f              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
3m43s       Normal   SuccessfulCreate    replicaset/gateway-67ddf64db9           Created pod: gateway-67ddf64db9-hv72g
3m43s       Normal   Pulling             pod/gateway-67ddf64db9-hv72g            Pulling image "ghcr.io/incheon-soda/shoply-gateway:latest"
3m43s       Normal   Pulling             pod/payment-7f446f7f68-fjrnl            Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
3m43s       Normal   SuccessfulRescale   horizontalpodautoscaler/payment-hpa     New size: 3; reason: cpu resource utilization (percentage of request) above target
3m43s       Normal   SuccessfulCreate    replicaset/payment-7f446f7f68           Created pod: payment-7f446f7f68-fjrnl
3m43s       Normal   ScalingReplicaSet   deployment/order                        Scaled up replica set order-6976c69cdd from 2 to 3
3m43s       Normal   ScalingReplicaSet   deployment/gateway                      Scaled up replica set gateway-67ddf64db9 from 2 to 3
3m43s       Normal   SuccessfulCreate    replicaset/order-6976c69cdd             Created pod: order-6976c69cdd-dnt5f
3m42s       Normal   Started             pod/payment-7f446f7f68-fjrnl            Started container payment
3m42s       Normal   Started             pod/gateway-67ddf64db9-hv72g            Started container gateway
3m42s       Normal   Created             pod/gateway-67ddf64db9-hv72g            Created container: gateway
3m42s       Normal   Pulled              pod/gateway-67ddf64db9-hv72g            Successfully pulled image "ghcr.io/incheon-soda/shoply-gateway:latest" in 736ms (736ms including waiting). Image size: 63587715 bytes.
3m42s       Normal   Created             pod/payment-7f446f7f68-fjrnl            Created container: payment
3m42s       Normal   Pulled              pod/payment-7f446f7f68-fjrnl            Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 726ms (726ms including waiting). Image size: 62780980 bytes.
3m41s       Normal   Pulled              pod/order-6976c69cdd-dnt5f              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 735ms (1.454s including waiting). Image size: 69825511 bytes.
3m41s       Normal   Created             pod/order-6976c69cdd-dnt5f              Created container: order
3m41s       Normal   Started             pod/order-6976c69cdd-dnt5f              Started container order
3m13s       Normal   ScalingReplicaSet   deployment/order                        Scaled up replica set order-6976c69cdd from 3 to 4
3m13s       Normal   SuccessfulCreate    replicaset/order-6976c69cdd             Created pod: order-6976c69cdd-smkdm
3m13s       Normal   SuccessfulRescale   horizontalpodautoscaler/order-hpa       New size: 4; reason: cpu resource utilization (percentage of request) above target
3m13s       Normal   Pulling             pod/order-6976c69cdd-smkdm              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
3m12s       Normal   Started             pod/order-6976c69cdd-smkdm              Started container order
3m12s       Normal   Created             pod/order-6976c69cdd-smkdm              Created container: order
3m12s       Normal   Pulled              pod/order-6976c69cdd-smkdm              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 800ms (800ms including waiting). Image size: 69825511 bytes.
58s         Normal   ScalingReplicaSet   deployment/gateway                      Scaled up replica set gateway-67ddf64db9 from 3 to 4
58s         Normal   Pulling             pod/payment-7f446f7f68-k2ws6            Pulling image "ghcr.io/incheon-soda/shoply-payment:latest"
58s         Normal   ScalingReplicaSet   deployment/payment                      Scaled up replica set payment-7f446f7f68 from 3 to 4
58s         Normal   Pulling             pod/gateway-67ddf64db9-88g4b            Pulling image "ghcr.io/incheon-soda/shoply-gateway:latest"
58s         Normal   SuccessfulRescale   horizontalpodautoscaler/payment-hpa     New size: 4; reason: cpu resource utilization (percentage of request) above target
58s         Normal   SuccessfulCreate    replicaset/gateway-67ddf64db9           Created pod: gateway-67ddf64db9-88g4b
58s         Normal   SuccessfulCreate    replicaset/payment-7f446f7f68           Created pod: payment-7f446f7f68-k2ws6
58s         Normal   SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 4; reason: cpu resource utilization (percentage of request) above target
57s         Normal   Created             pod/gateway-67ddf64db9-88g4b            Created container: gateway
57s         Normal   Created             pod/payment-7f446f7f68-k2ws6            Created container: payment
57s         Normal   Pulled              pod/payment-7f446f7f68-k2ws6            Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 739ms (739ms including waiting). Image size: 62780980 bytes.
57s         Normal   Started             pod/payment-7f446f7f68-k2ws6            Started container payment
57s         Normal   Started             pod/gateway-67ddf64db9-88g4b            Started container gateway
57s         Normal   Pulled              pod/gateway-67ddf64db9-88g4b            Successfully pulled image "ghcr.io/incheon-soda/shoply-gateway:latest" in 748ms (748ms including waiting). Image size: 63587715 bytes.
43s         Normal   SuccessfulCreate    replicaset/gateway-67ddf64db9           Created pod: gateway-67ddf64db9-djdn4
43s         Normal   SuccessfulCreate    replicaset/inventory-54b7486945         Created pod: inventory-54b7486945-6kffz
43s         Normal   SuccessfulCreate    replicaset/order-6976c69cdd             Created pod: order-6976c69cdd-zmclx
43s         Normal   ScalingReplicaSet   deployment/inventory                    Scaled up replica set inventory-54b7486945 from 2 to 3
43s         Normal   ScalingReplicaSet   deployment/gateway                      Scaled up replica set gateway-67ddf64db9 from 4 to 5
43s         Normal   SuccessfulRescale   horizontalpodautoscaler/order-hpa       New size: 6; reason: cpu resource utilization (percentage of request) above target
43s         Normal   SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 5; reason: cpu resource utilization (percentage of request) above target
43s         Normal   SuccessfulRescale   horizontalpodautoscaler/inventory-hpa   New size: 3; reason: cpu resource utilization (percentage of request) above target
43s         Normal   ScalingReplicaSet   deployment/order                        Scaled up replica set order-6976c69cdd from 4 to 6
43s         Normal   SuccessfulCreate    replicaset/order-6976c69cdd             Created pod: order-6976c69cdd-sdl99
42s         Normal   Created             pod/order-6976c69cdd-sdl99              Created container: order
42s         Normal   Pulling             pod/order-6976c69cdd-zmclx              Pulling image "ghcr.io/incheon-soda/shoply-order:latest"
42s         Normal   Started             pod/order-6976c69cdd-sdl99              Started container order
42s         Normal   Pulled              pod/order-6976c69cdd-sdl99              Successfully pulled image "ghcr.io/incheon-soda/shoply-order:latest" in 720ms (720ms including waiting). Image size: 69825511 bytes.
