NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     21m          3Mi             
gateway-67ddf64db9-88g4b     101m         27Mi            
gateway-67ddf64db9-djdn4     76m          22Mi            
gateway-67ddf64db9-hphmp     122m         30Mi            
gateway-67ddf64db9-hv72g     124m         30Mi            
gateway-67ddf64db9-vwb9l     117m         94Mi            
inventory-54b7486945-6kffz   10m          20Mi            
inventory-54b7486945-ktbmc   171m         31Mi            
inventory-54b7486945-nf5ql   112m         30Mi            
order-6976c69cdd-dmbjb       132m         101Mi           
order-6976c69cdd-dnt5f       126m         34Mi            
order-6976c69cdd-f6xcw       165m         35Mi            
order-6976c69cdd-sdl99       56m          29Mi            
order-6976c69cdd-smkdm       75m          33Mi            
order-6976c69cdd-zmclx       79m          29Mi            
payment-7f446f7f68-55452     114m         39Mi            
payment-7f446f7f68-8t46k     6m           16Mi            
payment-7f446f7f68-fjrnl     124m         37Mi            
payment-7f446f7f68-k2ws6     160m         35Mi            
payment-7f446f7f68-kwzfm     105m         38Mi            
product-79f7fc54b6-fmwn8     62m          32Mi            
product-79f7fc54b6-wr8sw     55m          30Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
