NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     26m          3Mi             
gateway-67ddf64db9-7wghc     104m         37Mi            
gateway-67ddf64db9-88g4b     122m         36Mi            
gateway-67ddf64db9-hcgz9     123m         40Mi            
gateway-67ddf64db9-hphmp     109m         43Mi            
gateway-67ddf64db9-hv72g     113m         42Mi            
gateway-67ddf64db9-vwb9l     99m          105Mi           
gateway-67ddf64db9-wp4gv     125m         42Mi            
inventory-54b7486945-ktbmc   172m         34Mi            
inventory-54b7486945-nf5ql   161m         33Mi            
order-6976c69cdd-dmbjb       98m          103Mi           
order-6976c69cdd-dnt5f       21m          15Mi            
order-6976c69cdd-f6xcw       218m         38Mi            
order-6976c69cdd-kfmw7       132m         35Mi            
order-6976c69cdd-sdl99       129m         38Mi            
order-6976c69cdd-zmclx       164m         37Mi            
payment-7f446f7f68-4r85q     177m         42Mi            
payment-7f446f7f68-6mlng     205m         41Mi            
payment-7f446f7f68-cpzqc     69m          34Mi            
payment-7f446f7f68-lgmjq     223m         39Mi            
product-79f7fc54b6-fmwn8     78m          33Mi            
product-79f7fc54b6-wr8sw     76m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
