NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     26m          3Mi             
gateway-67ddf64db9-7wghc     62m          23Mi            
gateway-67ddf64db9-88g4b     152m         34Mi            
gateway-67ddf64db9-djdn4     191m         30Mi            
gateway-67ddf64db9-hcgz9     55m          21Mi            
gateway-67ddf64db9-hphmp     170m         31Mi            
gateway-67ddf64db9-hv72g     119m         31Mi            
gateway-67ddf64db9-vwb9l     166m         94Mi            
inventory-54b7486945-4sgww   21m          15Mi            
inventory-54b7486945-6kffz   44m          28Mi            
inventory-54b7486945-ktbmc   175m         31Mi            
inventory-54b7486945-nf5ql   155m         30Mi            
order-6976c69cdd-dmbjb       99m          102Mi           
order-6976c69cdd-dnt5f       147m         35Mi            
order-6976c69cdd-f6xcw       186m         35Mi            
order-6976c69cdd-sdl99       111m         33Mi            
order-6976c69cdd-zmclx       107m         33Mi            
payment-7f446f7f68-6mlng     48m          32Mi            
payment-7f446f7f68-fjrnl     168m         39Mi            
payment-7f446f7f68-k2ws6     183m         38Mi            
product-79f7fc54b6-fmwn8     82m          32Mi            
product-79f7fc54b6-r7562     9m           18Mi            
product-79f7fc54b6-wr8sw     77m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
