NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    25m          3Mi             
gateway-7b76d459b9-6spnt     136m         35Mi            
gateway-7b76d459b9-92tht     149m         31Mi            
gateway-7b76d459b9-dx5zq     111m         26Mi            
gateway-7b76d459b9-qplgl     171m         30Mi            
gateway-7b76d459b9-rhsb6     132m         40Mi            
gateway-7b76d459b9-v6tnz     152m         30Mi            
inventory-7c5c586469-cs555   2m           15Mi            
inventory-7c5c586469-h59hh   229m         31Mi            
inventory-7c5c586469-k54j5   7m           15Mi            
inventory-7c5c586469-rrrlv   6m           15Mi            
order-556547d684-5cw6s       234m         35Mi            
order-556547d684-9q9xj       5m           15Mi            
order-556547d684-m6gfl       259m         35Mi            
order-556547d684-mkx72       174m         39Mi            
order-556547d684-p7jkh       2m           16Mi            
order-556547d684-zcbhh       4m           16Mi            
payment-84d4c68676-79qq4     22m          16Mi            
payment-84d4c68676-bwxlv     278m         37Mi            
payment-84d4c68676-fbv9g     281m         40Mi            
payment-84d4c68676-jdfrk     24m          16Mi            
payment-84d4c68676-k9bk8     23m          16Mi            
product-7f7cb5797d-4gnkq     85m          32Mi            
product-7f7cb5797d-x9pq8     79m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
