NAME                         READY   STATUS    RESTARTS        AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-9dcd685f9-hbrfw     1/1     Running   3 (92m ago)     119m    10.244.2.19   k8s-worker2   <none>           <none>
gateway-67ddf64db9-hphmp     1/1     Running   1 (93m ago)     119m    10.244.1.16   k8s-worker1   <none>           <none>
gateway-67ddf64db9-vwb9l     1/1     Running   1 (93m ago)     119m    10.244.1.14   k8s-worker1   <none>           <none>
inventory-54b7486945-ktbmc   1/1     Running   1 (93m ago)     119m    10.244.1.17   k8s-worker1   <none>           <none>
inventory-54b7486945-nf5ql   1/1     Running   1 (93m ago)     119m    10.244.1.19   k8s-worker1   <none>           <none>
order-6976c69cdd-dmbjb       1/1     Running   1 (92m ago)     119m    10.244.2.18   k8s-worker2   <none>           <none>
order-6976c69cdd-kfmw7       1/1     Running   1 (6m17s ago)   8m4s    10.244.1.34   k8s-worker1   <none>           <none>
payment-7f446f7f68-8t46k     1/1     Running   5 (4m34s ago)   11m     10.244.2.31   k8s-worker2   <none>           <none>
payment-7f446f7f68-cpzqc     1/1     Running   3 (4m53s ago)   8m34s   10.244.1.32   k8s-worker1   <none>           <none>
payment-7f446f7f68-lgmjq     1/1     Running   5 (3m46s ago)   8m34s   10.244.1.33   k8s-worker1   <none>           <none>
product-79f7fc54b6-fmwn8     1/1     Running   1 (93m ago)     119m    10.244.1.15   k8s-worker1   <none>           <none>
product-79f7fc54b6-wr8sw     1/1     Running   1 (93m ago)     119m    10.244.1.18   k8s-worker1   <none>           <none>
user-64dcb65d99-qwlqs        1/1     Running   1 (92m ago)     119m    10.244.2.21   k8s-worker2   <none>           <none>
