NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    1m           3Mi             
gateway-7b76d459b9-6spnt     3m           42Mi            
gateway-7b76d459b9-rhsb6     3m           43Mi            
inventory-7c5c586469-cs555   3m           24Mi            
inventory-7c5c586469-h59hh   3m           18Mi            
inventory-7c5c586469-rrrlv   3m           21Mi            
order-556547d684-5cw6s       3m           18Mi            
order-556547d684-9q9xj       3m           27Mi            
order-556547d684-btvvm       3m           17Mi            
order-556547d684-m6gfl       3m           29Mi            
order-556547d684-smgkl       3m           24Mi            
payment-84d4c68676-79qq4     4m           18Mi            
payment-84d4c68676-df5gz     3m           29Mi            
payment-84d4c68676-fbv9g     3m           18Mi            
payment-84d4c68676-hltrh     3m           28Mi            
payment-84d4c68676-hw8bv     3m           20Mi            
product-7f7cb5797d-4gnkq     3m           32Mi            
product-7f7cb5797d-x9pq8     3m           31Mi            
user-cf9f7646c-xfgl5         2m           29Mi            
