LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
47m         Normal    Scheduled                      pod/gateway-7b76d459b9-kvspx            Successfully assigned shoply/gateway-7b76d459b9-kvspx to k8s-worker1
50m         Normal    Scheduled                      pod/gateway-7b76d459b9-72kmd            Successfully assigned shoply/gateway-7b76d459b9-72kmd to k8s-worker1
58m         Normal    Scheduled                      pod/order-556547d684-hjkww              Successfully assigned shoply/order-556547d684-hjkww to k8s-worker2
54m         Normal    Scheduled                      pod/order-556547d684-jzf6v              Successfully assigned shoply/order-556547d684-jzf6v to k8s-worker2
52m         Normal    Scheduled                      pod/order-556547d684-kk58j              Successfully assigned shoply/order-556547d684-kk58j to k8s-worker2
47m         Normal    Scheduled                      pod/order-556547d684-d2fh6              Successfully assigned shoply/order-556547d684-d2fh6 to k8s-worker2
47m         Normal    Scheduled                      pod/order-556547d684-mkx72              Successfully assigned shoply/order-556547d684-mkx72 to k8s-worker2
58m         Normal    Scheduled                      pod/gateway-7b76d459b9-6spnt            Successfully assigned shoply/gateway-7b76d459b9-6spnt to k8s-worker1
52m         Normal    Scheduled                      pod/gateway-7b76d459b9-tsjw5            Successfully assigned shoply/gateway-7b76d459b9-tsjw5 to k8s-worker1
47m         Normal    Scheduled                      pod/gateway-7b76d459b9-tqr9p            Successfully assigned shoply/gateway-7b76d459b9-tqr9p to k8s-worker1
46m         Warning   FailedScheduling               pod/gateway-7b76d459b9-tbj2j            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Normal    Scheduled                      pod/gateway-7b76d459b9-sszzk            Successfully assigned shoply/gateway-7b76d459b9-sszzk to k8s-worker1
55m         Normal    Scheduled                      pod/gateway-7b76d459b9-w28j9            Successfully assigned shoply/gateway-7b76d459b9-w28j9 to k8s-worker1
55m         Normal    Scheduled                      pod/order-556547d684-skgcc              Successfully assigned shoply/order-556547d684-skgcc to k8s-worker2
46m         Normal    Scheduled                      pod/gateway-7b76d459b9-sl6ph            Successfully assigned shoply/gateway-7b76d459b9-sl6ph to k8s-worker1
47m         Normal    Scheduled                      pod/product-7f7cb5797d-48lg7            Successfully assigned shoply/product-7f7cb5797d-48lg7 to k8s-worker1
52m         Normal    Scheduled                      pod/order-556547d684-9lq9c              Successfully assigned shoply/order-556547d684-9lq9c to k8s-worker1
58m         Normal    Scheduled                      pod/order-556547d684-zswk8              Successfully assigned shoply/order-556547d684-zswk8 to k8s-worker2
54m         Normal    Scheduled                      pod/product-7f7cb5797d-gjtfg            Successfully assigned shoply/product-7f7cb5797d-gjtfg to k8s-worker1
53m         Normal    Scheduled                      pod/gateway-7b76d459b9-b2gsh            Successfully assigned shoply/gateway-7b76d459b9-b2gsh to k8s-worker1
47m         Normal    Scheduled                      pod/order-556547d684-6dppq              Successfully assigned shoply/order-556547d684-6dppq to k8s-worker2
57m         Normal    Scheduled                      pod/payment-84d4c68676-rzjnn            Successfully assigned shoply/payment-84d4c68676-rzjnn to k8s-worker2
57m         Normal    Scheduled                      pod/gateway-7b76d459b9-x2bsp            Successfully assigned shoply/gateway-7b76d459b9-x2bsp to k8s-worker1
47m         Normal    Scheduled                      pod/inventory-7c5c586469-k54j5          Successfully assigned shoply/inventory-7c5c586469-k54j5 to k8s-worker1
46m         Warning   FailedScheduling               pod/product-7f7cb5797d-pfwrn            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
54m         Normal    Scheduled                      pod/order-556547d684-5cw6s              Successfully assigned shoply/order-556547d684-5cw6s to k8s-worker2
47m         Normal    Scheduled                      pod/gateway-7b76d459b9-d9ss7            Successfully assigned shoply/gateway-7b76d459b9-d9ss7 to k8s-worker1
55m         Normal    Scheduled                      pod/order-556547d684-2hcwc              Successfully assigned shoply/order-556547d684-2hcwc to k8s-worker2
