NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    1m           3Mi             
gateway-7b76d459b9-6spnt     2m           34Mi            
gateway-7b76d459b9-rhsb6     3m           40Mi            
inventory-7c5c586469-h59hh   4m           26Mi            
inventory-7c5c586469-k54j5   3m           26Mi            
order-556547d684-5cw6s       3m           27Mi            
order-556547d684-mkx72       3m           33Mi            
payment-84d4c68676-fbv9g     3m           36Mi            
payment-84d4c68676-k9bk8     4m           36Mi            
product-7f7cb5797d-4gnkq     3m           32Mi            
product-7f7cb5797d-x9pq8     3m           31Mi            
user-cf9f7646c-xfgl5         4m           28Mi            
