NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    9m           3Mi             
gateway-7b76d459b9-6spnt     99m          35Mi            
gateway-7b76d459b9-92tht     7m           16Mi            
gateway-7b76d459b9-rhsb6     103m         40Mi            
inventory-7c5c586469-h59hh   51m          28Mi            
inventory-7c5c586469-k54j5   79m          31Mi            
order-556547d684-5cw6s       116m         33Mi            
order-556547d684-mkx72       108m         37Mi            
order-556547d684-zcbhh       41m          27Mi            
payment-84d4c68676-fbv9g     94m          38Mi            
payment-84d4c68676-k9bk8     102m         39Mi            
payment-84d4c68676-kjxzw     6m           16Mi            
product-7f7cb5797d-4gnkq     30m          32Mi            
product-7f7cb5797d-x9pq8     28m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
