NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    18m          3Mi             
gateway-7b76d459b9-6spnt     84m          42Mi            
gateway-7b76d459b9-92tht     93m          41Mi            
gateway-7b76d459b9-cgbwd     137m         35Mi            
gateway-7b76d459b9-dx5zq     120m         37Mi            
gateway-7b76d459b9-pl28d     96m          37Mi            
gateway-7b76d459b9-qplgl     98m          42Mi            
gateway-7b76d459b9-rhsb6     89m          44Mi            
gateway-7b76d459b9-v6tnz     95m          49Mi            
inventory-7c5c586469-cs555   362m         47Mi            
inventory-7c5c586469-h59hh   21m          16Mi            
inventory-7c5c586469-m7f8s   3m           16Mi            
inventory-7c5c586469-p8l8f   3m           17Mi            
inventory-7c5c586469-zqvm9   3m           16Mi            
order-556547d684-5cw6s       11m          15Mi            
order-556547d684-9q9xj       326m         45Mi            
order-556547d684-btvvm       3m           17Mi            
order-556547d684-m6gfl       264m         56Mi            
order-556547d684-smgkl       3m           15Mi            
order-556547d684-v5fsl       24m          16Mi            
payment-84d4c68676-bm2nz     4m           17Mi            
payment-84d4c68676-df5gz     4m           17Mi            
payment-84d4c68676-hltrh     270m         50Mi            
payment-84d4c68676-jdfrk     238m         53Mi            
product-7f7cb5797d-4gnkq     81m          32Mi            
product-7f7cb5797d-x9pq8     69m          31Mi            
user-cf9f7646c-xfgl5         3m           29Mi            
