NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     13m          3Mi             
gateway-67ddf64db9-88g4b     23m          17Mi            
gateway-67ddf64db9-hphmp     126m         30Mi            
gateway-67ddf64db9-hv72g     121m         30Mi            
gateway-67ddf64db9-vwb9l     119m         94Mi            
inventory-54b7486945-ktbmc   119m         31Mi            
inventory-54b7486945-nf5ql   78m          30Mi            
order-6976c69cdd-dmbjb       122m         100Mi           
order-6976c69cdd-dnt5f       99m          33Mi            
order-6976c69cdd-f6xcw       110m         34Mi            
order-6976c69cdd-smkdm       70m          32Mi            
payment-7f446f7f68-55452     100m         39Mi            
payment-7f446f7f68-fjrnl     114m         37Mi            
payment-7f446f7f68-k2ws6     8m           16Mi            
payment-7f446f7f68-kwzfm     102m         37Mi            
product-79f7fc54b6-fmwn8     44m          32Mi            
product-79f7fc54b6-wr8sw     44m          30Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
