NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    27m          3Mi             
gateway-7b76d459b9-6spnt     89m          35Mi            
gateway-7b76d459b9-92tht     93m          33Mi            
gateway-7b76d459b9-dx5zq     101m         35Mi            
gateway-7b76d459b9-pl28d     145m         28Mi            
gateway-7b76d459b9-qplgl     91m          30Mi            
gateway-7b76d459b9-rhsb6     90m          40Mi            
gateway-7b76d459b9-s7r7h     6m           15Mi            
gateway-7b76d459b9-v6tnz     95m          32Mi            
inventory-7c5c586469-cs555   23m          15Mi            
inventory-7c5c586469-h59hh   252m         32Mi            
inventory-7c5c586469-k54j5   3m           15Mi            
inventory-7c5c586469-m7f8s   6m           15Mi            
inventory-7c5c586469-rrrlv   5m           18Mi            
order-556547d684-5cw6s       230m         36Mi            
order-556547d684-9q9xj       4m           15Mi            
order-556547d684-m6gfl       230m         36Mi            
order-556547d684-mkx72       204m         39Mi            
order-556547d684-p7jkh       2m           16Mi            
order-556547d684-v5fsl       3m           16Mi            
order-556547d684-zcbhh       18m          15Mi            
payment-84d4c68676-79qq4     5m           16Mi            
payment-84d4c68676-bm2nz     4m           17Mi            
payment-84d4c68676-bwxlv     5m           16Mi            
payment-84d4c68676-fbv9g     375m         42Mi            
payment-84d4c68676-jdfrk     6m           16Mi            
payment-84d4c68676-k9bk8     3m           18Mi            
payment-84d4c68676-kjxzw     24m          17Mi            
product-7f7cb5797d-4gnkq     80m          32Mi            
product-7f7cb5797d-8l85p     3m           17Mi            
product-7f7cb5797d-x9pq8     72m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
