NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     19m          3Mi             
gateway-67ddf64db9-7wghc     57m          50Mi            
gateway-67ddf64db9-88g4b     85m          45Mi            
gateway-67ddf64db9-hcgz9     82m          43Mi            
gateway-67ddf64db9-hphmp     74m          43Mi            
gateway-67ddf64db9-hv72g     57m          42Mi            
gateway-67ddf64db9-vwb9l     77m          108Mi           
gateway-67ddf64db9-wp4gv     83m          46Mi            
inventory-54b7486945-ktbmc   124m         34Mi            
inventory-54b7486945-nf5ql   111m         34Mi            
order-6976c69cdd-dmbjb       100m         103Mi           
order-6976c69cdd-dnt5f       25m          15Mi            
order-6976c69cdd-f6xcw       88m          38Mi            
order-6976c69cdd-kfmw7       80m          36Mi            
order-6976c69cdd-sdl99       59m          28Mi            
order-6976c69cdd-smkdm       89m          34Mi            
order-6976c69cdd-zmclx       106m         37Mi            
payment-7f446f7f68-8t46k     6m           16Mi            
payment-7f446f7f68-cpzqc     147m         38Mi            
payment-7f446f7f68-kwzfm     173m         38Mi            
product-79f7fc54b6-fmwn8     55m          33Mi            
product-79f7fc54b6-wr8sw     54m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
