NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     18m          3Mi             
gateway-67ddf64db9-7wghc     71m          42Mi            
gateway-67ddf64db9-88g4b     64m          36Mi            
gateway-67ddf64db9-hcgz9     74m          40Mi            
gateway-67ddf64db9-hphmp     83m          42Mi            
gateway-67ddf64db9-hv72g     81m          42Mi            
gateway-67ddf64db9-vwb9l     74m          107Mi           
gateway-67ddf64db9-wp4gv     124m         44Mi            
inventory-54b7486945-ktbmc   125m         34Mi            
inventory-54b7486945-nf5ql   126m         33Mi            
order-6976c69cdd-7tfnt       4m           15Mi            
order-6976c69cdd-dmbjb       80m          103Mi           
order-6976c69cdd-f6xcw       172m         38Mi            
order-6976c69cdd-kfmw7       102m         35Mi            
order-6976c69cdd-pvkc7       19m          15Mi            
order-6976c69cdd-sdl99       91m          38Mi            
order-6976c69cdd-zmclx       118m         37Mi            
payment-7f446f7f68-4r85q     92m          42Mi            
payment-7f446f7f68-6mlng     124m         41Mi            
payment-7f446f7f68-cpzqc     150m         36Mi            
payment-7f446f7f68-k2ws6     25m          16Mi            
payment-7f446f7f68-lgmjq     133m         39Mi            
product-79f7fc54b6-fmwn8     48m          33Mi            
product-79f7fc54b6-wr8sw     53m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
