NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     20m          3Mi             
gateway-67ddf64db9-7wghc     78m          34Mi            
gateway-67ddf64db9-88g4b     77m          36Mi            
gateway-67ddf64db9-djdn4     71m          33Mi            
gateway-67ddf64db9-hcgz9     82m          35Mi            
gateway-67ddf64db9-hphmp     71m          37Mi            
gateway-67ddf64db9-hv72g     74m          36Mi            
gateway-67ddf64db9-q62l2     89m          34Mi            
gateway-67ddf64db9-vwb9l     75m          98Mi            
gateway-67ddf64db9-wp4gv     80m          32Mi            
inventory-54b7486945-25hc8   24m          15Mi            
inventory-54b7486945-6kffz   4m           15Mi            
inventory-54b7486945-ktbmc   127m         32Mi            
inventory-54b7486945-nf5ql   155m         31Mi            
order-6976c69cdd-dmbjb       135m         102Mi           
order-6976c69cdd-dnt5f       115m         32Mi            
order-6976c69cdd-f6xcw       117m         36Mi            
order-6976c69cdd-sdl99       108m         35Mi            
order-6976c69cdd-zmclx       152m         35Mi            
payment-7f446f7f68-4r85q     131m         37Mi            
payment-7f446f7f68-8t46k     141m         36Mi            
payment-7f446f7f68-cpzqc     25m          16Mi            
payment-7f446f7f68-fjrnl     122m         39Mi            
payment-7f446f7f68-kwzfm     138m         36Mi            
payment-7f446f7f68-lgmjq     23m          17Mi            
product-79f7fc54b6-fmwn8     66m          33Mi            
product-79f7fc54b6-wr8sw     66m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
