LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
42s         Warning   FailedScheduling               pod/payment-84d4c68676-hw8bv            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
60m         Normal    Scheduled                      pod/gateway-7b76d459b9-hszdg            Successfully assigned shoply/gateway-7b76d459b9-hszdg to k8s-worker1
3m57s       Normal    Scheduled                      pod/payment-84d4c68676-hltrh            Successfully assigned shoply/payment-84d4c68676-hltrh to k8s-worker2
7m27s       Normal    Scheduled                      pod/gateway-7b76d459b9-s7r7h            Successfully assigned shoply/gateway-7b76d459b9-s7r7h to k8s-worker1
114s        Normal    Scheduled                      pod/inventory-7c5c586469-zqvm9          Successfully assigned shoply/inventory-7c5c586469-zqvm9 to k8s-worker1
5m57s       Normal    Scheduled                      pod/gateway-7b76d459b9-4g55k            Successfully assigned shoply/gateway-7b76d459b9-4g55k to k8s-worker1
10m         Normal    Scheduled                      pod/gateway-7b76d459b9-v6tnz            Successfully assigned shoply/gateway-7b76d459b9-v6tnz to k8s-worker1
86s         Warning   FailedScheduling               pod/gateway-7b76d459b9-rk8hv            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
7m27s       Normal    Scheduled                      pod/inventory-7c5c586469-m7f8s          Successfully assigned shoply/inventory-7c5c586469-m7f8s to k8s-worker1
8m12s       Normal    Scheduled                      pod/payment-84d4c68676-79qq4            Successfully assigned shoply/payment-84d4c68676-79qq4 to k8s-worker2
3m56s       Normal    Scheduled                      pod/payment-84d4c68676-df5gz            Successfully assigned shoply/payment-84d4c68676-df5gz to k8s-worker1
3m57s       Warning   FailedScheduling               pod/payment-84d4c68676-df5gz            0/4 nodes are available: 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
