NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    19m          3Mi             
gateway-7b76d459b9-4g55k     86m          32Mi            
gateway-7b76d459b9-6spnt     63m          43Mi            
gateway-7b76d459b9-92tht     85m          38Mi            
gateway-7b76d459b9-dx5zq     80m          34Mi            
gateway-7b76d459b9-pl28d     52m          29Mi            
gateway-7b76d459b9-qplgl     95m          33Mi            
gateway-7b76d459b9-rhsb6     73m          41Mi            
gateway-7b76d459b9-s7r7h     61m          35Mi            
gateway-7b76d459b9-v5ck6     92m          34Mi            
gateway-7b76d459b9-v6tnz     85m          28Mi            
inventory-7c5c586469-cs555   21m          17Mi            
inventory-7c5c586469-h59hh   153m         30Mi            
inventory-7c5c586469-m7f8s   19m          17Mi            
order-556547d684-5cw6s       137m         37Mi            
order-556547d684-7dddm       13m          15Mi            
order-556547d684-9q9xj       2m           16Mi            
order-556547d684-m6gfl       200m         35Mi            
order-556547d684-mkx72       174m         32Mi            
order-556547d684-v5fsl       4m           16Mi            
order-556547d684-zcbhh       19m          15Mi            
payment-84d4c68676-fbv9g     5m           16Mi            
payment-84d4c68676-jdfrk     5m           16Mi            
product-7f7cb5797d-4gnkq     45m          32Mi            
product-7f7cb5797d-8l85p     80m          30Mi            
product-7f7cb5797d-x9pq8     49m          31Mi            
user-cf9f7646c-xfgl5         4m           28Mi            
