NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     21m          3Mi             
gateway-67ddf64db9-7wghc     98m          50Mi            
gateway-67ddf64db9-88g4b     85m          45Mi            
gateway-67ddf64db9-hcgz9     92m          43Mi            
gateway-67ddf64db9-hphmp     105m         44Mi            
gateway-67ddf64db9-hv72g     98m          44Mi            
gateway-67ddf64db9-vwb9l     92m          108Mi           
gateway-67ddf64db9-wp4gv     86m          47Mi            
inventory-54b7486945-ktbmc   148m         34Mi            
inventory-54b7486945-nf5ql   141m         33Mi            
order-6976c69cdd-dmbjb       115m         103Mi           
order-6976c69cdd-dnt5f       101m         32Mi            
order-6976c69cdd-f6xcw       95m          38Mi            
order-6976c69cdd-kfmw7       144m         36Mi            
order-6976c69cdd-sdl99       113m         33Mi            
order-6976c69cdd-smkdm       95m          34Mi            
order-6976c69cdd-zmclx       106m         37Mi            
payment-7f446f7f68-4r85q     5m           16Mi            
payment-7f446f7f68-8t46k     276m         37Mi            
payment-7f446f7f68-cpzqc     201m         40Mi            
payment-7f446f7f68-lgmjq     5m           17Mi            
product-79f7fc54b6-fmwn8     63m          33Mi            
product-79f7fc54b6-wr8sw     65m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
