NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     14m          3Mi             
gateway-67ddf64db9-7wghc     56m          37Mi            
gateway-67ddf64db9-88g4b     53m          36Mi            
gateway-67ddf64db9-djdn4     59m          34Mi            
gateway-67ddf64db9-hcgz9     48m          39Mi            
gateway-67ddf64db9-hphmp     53m          37Mi            
gateway-67ddf64db9-hv72g     60m          38Mi            
gateway-67ddf64db9-vwb9l     62m          92Mi            
gateway-67ddf64db9-wp4gv     57m          41Mi            
inventory-54b7486945-25hc8   2m           16Mi            
inventory-54b7486945-4sgww   21m          15Mi            
inventory-54b7486945-ktbmc   97m          33Mi            
inventory-54b7486945-nf5ql   102m         32Mi            
order-6976c69cdd-dmbjb       96m          102Mi           
order-6976c69cdd-dnt5f       99m          36Mi            
order-6976c69cdd-f6xcw       96m          37Mi            
order-6976c69cdd-pvkc7       19m          16Mi            
order-6976c69cdd-sdl99       90m          35Mi            
order-6976c69cdd-smkdm       19m          15Mi            
order-6976c69cdd-zmclx       92m          36Mi            
payment-7f446f7f68-4r85q     60m          34Mi            
payment-7f446f7f68-55452     22m          16Mi            
payment-7f446f7f68-6mlng     81m          35Mi            
payment-7f446f7f68-cpzqc     92m          38Mi            
payment-7f446f7f68-fjrnl     50m          31Mi            
product-79f7fc54b6-fmwn8     52m          33Mi            
product-79f7fc54b6-wr8sw     46m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
