NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    19m          3Mi             
gateway-7b76d459b9-6spnt     126m         34Mi            
gateway-7b76d459b9-92tht     115m         30Mi            
gateway-7b76d459b9-qplgl     114m         26Mi            
gateway-7b76d459b9-rhsb6     120m         40Mi            
gateway-7b76d459b9-v6tnz     122m         29Mi            
inventory-7c5c586469-cs555   4m           16Mi            
inventory-7c5c586469-h59hh   152m         30Mi            
inventory-7c5c586469-k54j5   118m         31Mi            
order-556547d684-5cw6s       187m         35Mi            
order-556547d684-9q9xj       21m          15Mi            
order-556547d684-m6gfl       133m         33Mi            
order-556547d684-mkx72       128m         37Mi            
order-556547d684-p7jkh       110m         32Mi            
order-556547d684-zcbhh       97m          34Mi            
payment-84d4c68676-bwxlv     164m         35Mi            
payment-84d4c68676-fbv9g     121m         39Mi            
payment-84d4c68676-jdfrk     25m          16Mi            
payment-84d4c68676-k9bk8     122m         39Mi            
payment-84d4c68676-kjxzw     128m         37Mi            
product-7f7cb5797d-4gnkq     66m          32Mi            
product-7f7cb5797d-x9pq8     64m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
