NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     21m          3Mi             
gateway-67ddf64db9-7wghc     65m          34Mi            
gateway-67ddf64db9-88g4b     78m          34Mi            
gateway-67ddf64db9-djdn4     79m          33Mi            
gateway-67ddf64db9-hcgz9     96m          34Mi            
gateway-67ddf64db9-hphmp     88m          37Mi            
gateway-67ddf64db9-hv72g     78m          35Mi            
gateway-67ddf64db9-q62l2     42m          23Mi            
gateway-67ddf64db9-vwb9l     89m          98Mi            
gateway-67ddf64db9-wp4gv     5m           16Mi            
inventory-54b7486945-ktbmc   128m         32Mi            
inventory-54b7486945-nf5ql   121m         30Mi            
order-6976c69cdd-cqtdc       4m           15Mi            
order-6976c69cdd-dmbjb       160m         101Mi           
order-6976c69cdd-dnt5f       23m          15Mi            
order-6976c69cdd-f6xcw       131m         36Mi            
order-6976c69cdd-pvkc7       5m           15Mi            
order-6976c69cdd-sdl99       124m         36Mi            
order-6976c69cdd-zmclx       109m         34Mi            
payment-7f446f7f68-4r85q     89m          35Mi            
payment-7f446f7f68-55452     22m          22Mi            
payment-7f446f7f68-6mlng     102m         37Mi            
payment-7f446f7f68-8t46k     140m         35Mi            
payment-7f446f7f68-fjrnl     100m         39Mi            
payment-7f446f7f68-k2ws6     5m           16Mi            
payment-7f446f7f68-kwzfm     136m         35Mi            
product-79f7fc54b6-fmwn8     60m          32Mi            
product-79f7fc54b6-wr8sw     49m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
