NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    22m          3Mi             
gateway-7b76d459b9-6spnt     73m          42Mi            
gateway-7b76d459b9-92tht     81m          33Mi            
gateway-7b76d459b9-dx5zq     74m          35Mi            
gateway-7b76d459b9-pl28d     69m          31Mi            
gateway-7b76d459b9-qplgl     72m          36Mi            
gateway-7b76d459b9-rhsb6     69m          40Mi            
gateway-7b76d459b9-s7r7h     82m          31Mi            
gateway-7b76d459b9-v5ck6     99m          32Mi            
gateway-7b76d459b9-v6tnz     95m          33Mi            
inventory-7c5c586469-cs555   5m           15Mi            
inventory-7c5c586469-h59hh   251m         32Mi            
inventory-7c5c586469-k54j5   6m           15Mi            
order-556547d684-5cw6s       230m         36Mi            
order-556547d684-m6gfl       174m         36Mi            
order-556547d684-mkx72       15m          22Mi            
payment-84d4c68676-79qq4     4m           17Mi            
payment-84d4c68676-bwxlv     27m          16Mi            
payment-84d4c68676-fbv9g     399m         42Mi            
payment-84d4c68676-jdfrk     29m          16Mi            
payment-84d4c68676-k9bk8     2m           16Mi            
product-7f7cb5797d-4gnkq     48m          32Mi            
product-7f7cb5797d-8l85p     59m          30Mi            
product-7f7cb5797d-x9pq8     49m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
