NAME                         CPU(cores)   MEMORY(bytes)   
frontend-6798c74b8c-m2ddg    27m          3Mi             
gateway-7b76d459b9-4g55k     5m           15Mi            
gateway-7b76d459b9-6spnt     87m          42Mi            
gateway-7b76d459b9-92tht     100m         35Mi            
gateway-7b76d459b9-dx5zq     93m          36Mi            
gateway-7b76d459b9-pl28d     100m         33Mi            
gateway-7b76d459b9-qplgl     100m         36Mi            
gateway-7b76d459b9-rhsb6     78m          40Mi            
gateway-7b76d459b9-s7r7h     118m         34Mi            
gateway-7b76d459b9-v5ck6     113m         33Mi            
gateway-7b76d459b9-v6tnz     98m          35Mi            
inventory-7c5c586469-h59hh   304m         32Mi            
inventory-7c5c586469-m7f8s   3m           17Mi            
order-556547d684-5cw6s       354m         36Mi            
order-556547d684-7dddm       17m          15Mi            
order-556547d684-m6gfl       295m         36Mi            
order-556547d684-v5fsl       3m           16Mi            
order-556547d684-zcbhh       3m           15Mi            
payment-84d4c68676-bm2nz     2m           16Mi            
payment-84d4c68676-fbv9g     424m         43Mi            
product-7f7cb5797d-4gnkq     67m          32Mi            
product-7f7cb5797d-8l85p     81m          30Mi            
product-7f7cb5797d-x9pq8     61m          31Mi            
user-cf9f7646c-xfgl5         3m           28Mi            
