NAME                         CPU(cores)   MEMORY(bytes)   
frontend-9dcd685f9-hbrfw     22m          3Mi             
gateway-67ddf64db9-7wghc     106m         50Mi            
gateway-67ddf64db9-88g4b     80m          38Mi            
gateway-67ddf64db9-hcgz9     84m          41Mi            
gateway-67ddf64db9-hphmp     70m          43Mi            
gateway-67ddf64db9-hv72g     92m          42Mi            
gateway-67ddf64db9-vwb9l     98m          107Mi           
gateway-67ddf64db9-wp4gv     74m          45Mi            
inventory-54b7486945-ktbmc   94m          34Mi            
inventory-54b7486945-nf5ql   143m         33Mi            
order-6976c69cdd-7tfnt       53m          27Mi            
order-6976c69cdd-dmbjb       82m          103Mi           
order-6976c69cdd-f6xcw       120m         38Mi            
order-6976c69cdd-kfmw7       78m          36Mi            
order-6976c69cdd-sdl99       87m          38Mi            
order-6976c69cdd-zmclx       113m         37Mi            
payment-7f446f7f68-4r85q     216m         42Mi            
payment-7f446f7f68-6mlng     176m         41Mi            
product-79f7fc54b6-fmwn8     59m          33Mi            
product-79f7fc54b6-wr8sw     64m          31Mi            
user-64dcb65d99-qwlqs        3m           28Mi            
